501,40.8154,-73.0451,Holtsville,New York,NY,Suffolk
544,40.8154,-73.0451,Holtsville,New York,NY,Suffolk
1001,42.0702,-72.6227,Agawam,Massachusetts,MA,Hampden
1002,42.3671,-72.4646,Amherst,Massachusetts,MA,Hampshire
1003,42.3919,-72.5248,Amherst,Massachusetts,MA,Hampshire
1004,42.3845,-72.5132,Amherst,Massachusetts,MA,Hampshire
1005,42.4097,-72.1084,Barre,Massachusetts,MA,Worcester
1007,42.2751,-72.411,Belchertown,Massachusetts,MA,Hampshire
1008,42.1829,-72.9361,Blandford,Massachusetts,MA,Hampden
1009,42.2061,-72.3405,Bondsville,Massachusetts,MA,Hampden
1010,42.1165,-72.1885,Brimfield,Massachusetts,MA,Hampden
1011,42.2794,-72.9888,Chester,Massachusetts,MA,Hampden
1012,42.3923,-72.8256,Chesterfield,Massachusetts,MA,Hampshire
1013,42.1487,-72.6079,Chicopee,Massachusetts,MA,Hampden
1014,42.1707,-72.6048,Chicopee,Massachusetts,MA,Hampden
1020,42.1764,-72.5761,Chicopee,Massachusetts,MA,Hampden
1021,42.1707,-72.6048,Chicopee,Massachusetts,MA,Hampden
1022,42.1934,-72.5544,Chicopee,Massachusetts,MA,Hampden
1026,42.4633,-72.9202,Cummington,Massachusetts,MA,Hampshire
1027,42.2668,-72.669,Easthampton,Massachusetts,MA,Hampshire
1028,42.0672,-72.5056,East Longmeadow,Massachusetts,MA,Hampden
1029,42.1909,-73.0517,East Otis,Massachusetts,MA,Berkshire
1030,42.0718,-72.6751,Feeding Hills,Massachusetts,MA,Hampden
1031,42.3322,-72.1986,Gilbertville,Massachusetts,MA,Worcester
1032,42.4404,-72.7995,Goshen,Massachusetts,MA,Hampshire
1033,42.2557,-72.52,Granby,Massachusetts,MA,Hampshire
1034,42.1127,-72.952,Granville,Massachusetts,MA,Hampden
1035,42.3606,-72.5715,Hadley,Massachusetts,MA,Hampshire
1036,42.0648,-72.4318,Hampden,Massachusetts,MA,Hampden
1037,42.3479,-72.2253,Hardwick,Massachusetts,MA,Worcester
1038,42.3844,-72.6167,Hatfield,Massachusetts,MA,Hampshire
1039,42.3818,-72.7032,Haydenville,Massachusetts,MA,Hampshire
1040,42.202,-72.6262,Holyoke,Massachusetts,MA,Hampden
1041,42.2043,-72.6162,Holyoke,Massachusetts,MA,Hampden
1050,42.2653,-72.8733,Huntington,Massachusetts,MA,Hampshire
1053,42.3543,-72.7034,Leeds,Massachusetts,MA,Hampshire
1054,42.4682,-72.4993,Leverett,Massachusetts,MA,Franklin
1056,42.1728,-72.471,Ludlow,Massachusetts,MA,Hampden
1057,42.101,-72.3196,Monson,Massachusetts,MA,Hampden
1059,42.4104,-72.5309,North Amherst,Massachusetts,MA,Hampshire
1060,42.3223,-72.6313,Northampton,Massachusetts,MA,Hampshire
1061,42.3696,-72.636,Northampton,Massachusetts,MA,Hampshire
1062,42.3219,-72.6928,Florence,Massachusetts,MA,Hampshire
1063,42.3179,-72.6402,Northampton,Massachusetts,MA,Hampshire
1066,42.4067,-72.6339,North Hatfield,Massachusetts,MA,Hampshire
1068,42.348,-72.0513,Oakham,Massachusetts,MA,Worcester
1069,42.1762,-72.3288,Palmer,Massachusetts,MA,Hampden
1070,42.5144,-72.9183,Plainfield,Massachusetts,MA,Hampshire
1071,42.1471,-72.8403,Russell,Massachusetts,MA,Hampden
1072,42.482,-72.4213,Shutesbury,Massachusetts,MA,Franklin
